TransactionID,StudentID,BookISBN,CheckoutDate,ReturnDate,Department,BookCategory
1001,STU-2024-001,978-0134685991,2024-01-15,2024-01-29,CS,Textbook
1002,STU-2024-002,978-0133970777,2024-01-15,,Computer Science,Textbook
1003,STU-2024-003,978-0262033848,01/16/2024,02/06/2024,CompSci,Textbook
1004,STU-2024-004,978-1982100551,2024-02-01,2024-02-10,ENG,Fiction
1005,STU-2024-005,978-1234567890,2024-02-05,2024-02-12,Engineering,Reference
1006,STU-2024-006,978-0451524935,2024-02-10,2024-02-20,BUS,Fiction
1007,STU-2024-007,978-0141439518,2024-02-15,,Business,Literature
1008,STU-2024-001,978-0134685991,2024-03-01,2024-03-15,CS,Textbook
1009,STU-2024-008,978-0590353403,2024-03-05,2024-03-12,CS,Fiction
1010,STU-2024-009,978-0439064873,2024-03-10,,CompSci,Fiction
1011,FAC-2024-001,978-0133970777,2024-01-04,2024-02-03,CS,Textbook
1012,FAC-2024-002,978-0262033848,2024-02-01,2024-03-01,ENG,Textbook
1013,STU-2024-010,978-0743273565,2024-03-15,2024-03-22,BUS,Biography
1014,STU-2024-011,978-0316769174,2024-03-20,,ENG,Literature
1015,STU-2024-012,978-0451524935,2024-03-25,2024-04-01,Business,Fiction
